,arc_aggregate,arc_de,arc_en,arc_es,arc_fr,arc_it,belebele_aggregate,belebele_de,belebele_en,belebele_es,belebele_fr,belebele_it,dataset_aggregate,de_aggregate,en_aggregate,es_aggregate,fr_aggregate,it_aggregate,language_aggregate,m_mmlu_aggregate,m_mmlu_de,m_mmlu_en,m_mmlu_es,m_mmlu_fr,m_mmlu_it,overall_aggregate,truthfulqa_aggregate,truthfulqa_de,truthfulqa_en,truthfulqa_es,truthfulqa_fr,truthfulqa_it
microsoft__Phi-3-small-128k-instruct,0.6327235905615665,0.6013686911890505,0.697098976109215,0.6393162393162393,0.6099230111206159,0.6159110350727117,0.9035555555555556,0.9022222222222223,0.9344444444444444,0.8955555555555555,0.9044444444444445,0.8811111111111111,0.6999667112890147,0.6775041054305815,0.7573081147224155,0.6975417183261793,0.6874375911803969,0.6800420267855006,0.6999667112890149,0.6969588382832554,0.6718962136068789,0.7510182531301856,0.6899655017249138,0.6851271866167596,0.6867870363375387,0.6999667112890148,0.5666288607556816,0.5345292947041739,0.6466707852058171,0.5653295767080082,0.5502557225397676,0.5363589246206412
google__flan-t5-xl,0.2936742532138089,0.2737382378100941,0.4052901023890785,0.25811965811965815,0.272027373823781,0.25919589392643283,0.8224444444444444,0.8144444444444444,0.9377777777777778,0.7933333333333333,0.8166666666666667,0.75,0.4844161860042978,0.47887123647523955,0.5675253105730442,0.46173770703884043,0.4711897857965833,0.44275689013778163,0.4844161860042978,0.4016707826260005,0.37924272137577314,0.49373962890330364,0.3848807559622019,0.392101443739974,0.3583893631487497,0.4844161860042978,0.4198752637329376,0.4480595422706466,0.4332937332220172,0.4106170807401682,0.40396365895591174,0.4034423034759441
BSC-LT__salamandra-2b-instruct,0.3793381405312492,0.33532934131736525,0.46245733788395904,0.3811965811965812,0.3592814371257485,0.358426005132592,0.2975555555555556,0.29555555555555557,0.30333333333333334,0.29,0.29444444444444445,0.30444444444444446,0.33574445097307726,0.32672856897253666,0.3646289715793218,0.3354779047507904,0.3246722119177956,0.3272145976449416,0.33574445097307726,0.26003966146978197,0.25856086890933777,0.25908885201387843,0.26428678566071695,0.2618592926438011,0.2564025081211755,0.33574445097307726,0.40604444633572223,0.41746851010788816,0.43363636308611647,0.40642825214586364,0.38310367345718843,0.38958543288155445
Qwen__Qwen2.5-1.5B-Instruct,0.41829649006878167,0.34901625320787,0.5486348122866894,0.4111111111111111,0.39948674080410607,0.38323353293413176,0.7706666666666667,0.76,0.8277777777777777,0.7566666666666667,0.7777777777777778,0.7311111111111112,0.548697881692479,0.516771839182073,0.6120906181898049,0.5437912231011804,0.5478837166264874,0.5229520113628491,0.548697881692479,0.5309005437127385,0.4921556795896817,0.6053703424347564,0.5302984850757462,0.521503322893591,0.5051748885699177,0.548697881692479,0.4749278263217289,0.46591542393074037,0.4665795402599961,0.4770886295511978,0.4927670250304747,0.47228851283623563
old,0.2936742532138089,0.2737382378100941,0.4052901023890785,0.25811965811965815,0.272027373823781,0.25919589392643283,0.8224444444444444,0.8144444444444444,0.9377777777777778,0.7933333333333333,0.8166666666666667,0.75,0.4844161860042978,0.47887123647523955,0.5675253105730442,0.46173770703884043,0.4711897857965833,0.44275689013778163,0.4844161860042978,0.4016707826260005,0.37924272137577314,0.49373962890330364,0.3848807559622019,0.392101443739974,0.3583893631487497,0.4844161860042978,0.4198752637329376,0.4480595422706466,0.4332937332220172,0.4106170807401682,0.40396365895591174,0.4034423034759441
microsoft__Phi-3-mini-128k-instruct,,,,,,,,,,,,,0.5251373313157295,0.5307258806192079,0.5365801248866792,0.5125911659306532,0.5302604056185632,0.5155290795235437,0.5251373313157295,,,,,,,0.5251373313157295,0.5251373313157295,0.5307258806192079,0.5365801248866792,0.5125911659306532,0.5302604056185632,0.5155290795235437
Qwen__Qwen1.5-14B-Chat,0.5246727837253271,0.47904191616766467,0.5887372013651877,0.5213675213675214,0.5269461077844312,0.5072711719418306,0.8775555555555554,0.8777777777777778,0.9188888888888889,0.8533333333333334,0.8822222222222222,0.8555555555555555,0.6428714160275317,0.6207908409034861,0.6935445263621585,0.632560394365449,0.6439162018978586,0.6235451166087063,0.6428714160275317,0.6030642131537898,0.5791220395233067,0.6632976316186453,0.5936703164841758,0.5991902834008097,0.580040794742011,0.6428714160275317,0.5661931116754546,0.5472216301451958,0.6032543835759123,0.5618704062767652,0.5673061941839717,0.5513129441954283
mistralai__Mistral-7B-Instruct-v0.3,0.542610140830492,0.49957228400342174,0.6399317406143344,0.523931623931624,0.5337895637296834,0.5158254918733961,0.772888888888889,0.7488888888888889,0.8488888888888889,0.7533333333333333,0.78,0.7333333333333333,0.6022018059090262,0.5815744275698702,0.6687168239332284,0.5909452577905014,0.5968731143878825,0.5728994058636482,0.6022018059090261,0.5237379753128579,0.5009051138934982,0.5895308492985367,0.5185990700464976,0.5123367198838897,0.4973181234418675,0.6022018059090262,0.5695702186038658,0.5769314234936719,0.5965158169311535,0.5679170038505509,0.561366173937957,0.5451206748059959
BSC-LT__salamandra-7b-instruct,0.5212576232725014,0.49016253207869975,0.5742320819112628,0.5264957264957265,0.5098374679213002,0.5055603079555175,0.6735555555555555,0.6788888888888889,0.6944444444444444,0.6611111111111111,0.6588888888888889,0.6744444444444444,0.5224045352350518,0.5090877924184827,0.5523767698901628,0.5216372933567293,0.5139427546364346,0.5149780658734503,0.5224045352350519,0.4694161394330084,0.45730879468999847,0.49502187358575955,0.4728513574321284,0.46008708272859217,0.46181158872856387,0.5224045352350519,0.4253888226791423,0.40999095401634333,0.44580867961918447,0.4260909783879509,0.4269575790069573,0.41809592236527554
Qwen__Qwen2-7B-Instruct,0.5509957012801835,0.5055603079555175,0.6254266211604096,0.5538461538461539,0.5431993156544055,0.5269461077844312,0.8826666666666668,0.8577777777777778,0.9155555555555556,0.8755555555555555,0.8988888888888888,0.8655555555555555,0.6538960822514251,0.6260150797006294,0.7039059550307813,0.6462865131517752,0.6556110423029354,0.6376618210710041,0.653896082251425,0.6395088529264692,0.6051440639613818,0.7013124151455725,0.6328183590820459,0.635016423497059,0.6232530029462869,0.653896082251425,0.5424131081323811,0.5355781691078407,0.5733292282615878,0.5229259841233456,0.5453395411713885,0.5348926179977431
mistralai__Ministral-8B-Instruct-2410,0.5747771411383437,0.544054747647562,0.6160409556313993,0.5794871794871795,0.564585115483319,0.5697177074422584,0.8724444444444446,0.8744444444444445,0.8955555555555555,0.8566666666666667,0.8811111111111111,0.8544444444444445,0.6300660987971335,0.6192448297010045,0.6590626829240456,0.6259565407142006,0.624867166858226,0.6211992737881908,0.6300660987971336,0.5971217956379343,0.5827424950972997,0.6378035902851109,0.5937453127343633,0.5871973111297838,0.584120268943114,0.6300660987971336,0.47592101396781156,0.47573763161471194,0.4868506302241166,0.4739270039685929,0.4665751297086897,0.4765146743229469
Qwen__Qwen2-0.5B-Instruct,0.2819098688943981,0.2703165098374679,0.32081911262798635,0.2743589743589744,0.2763045337895637,0.2677502138579983,0.4611111111111111,0.4255555555555556,0.5255555555555556,0.44333333333333336,0.4722222222222222,0.4388888888888889,0.3788647629907905,0.3647570805291507,0.4183251004737234,0.37104859266019335,0.37415059706320075,0.3660424442276844,0.3788647629907905,0.3760579611409903,0.35005279831045405,0.43354955498566905,0.37003149842507876,0.36811549919792225,0.3585404547858276,0.3788647629907905,0.3963801108166624,0.4131034584131251,0.39337617872568253,0.39647056452338686,0.3799601330430947,0.39899021937802276
google__flan-t5-large,0.26087515651166504,0.24379811804961504,0.3148464163822526,0.24017094017094018,0.2617621899059025,0.24379811804961504,0.6746666666666667,0.6477777777777778,0.8688888888888889,0.6366666666666667,0.6544444444444445,0.5655555555555556,0.4190137916912494,0.40946298535273107,0.4954149454252289,0.40015978967515,0.41664630545156384,0.373384932551573,0.41901379169124936,0.34017842443627594,0.3222205460853824,0.42412128526172876,0.3208339583020849,0.33221297074325873,0.301503361788925,0.4190137916912494,0.4003349191503897,0.42405549949814914,0.37380319116804556,0.40296759356090806,0.4181656167126497,0.3826826948121963
meta-llama__Llama-3.2-3B-Instruct,0.4496127369209873,0.40975192472198463,0.5238907849829352,0.44188034188034186,0.4508126603934987,0.42172797262617623,0.7695555555555555,0.7522222222222222,0.8433333333333334,0.7355555555555555,0.7711111111111111,0.7455555555555555,0.5544609298103469,0.5352922084756728,0.6155517749828106,0.5419443458693474,0.547101487096381,0.5324148326275223,0.5544609298103468,0.522208022136627,0.5020365062603711,0.5972997435510635,0.5070496475176242,0.5041631655335727,0.5004910478205031,0.5544609298103469,0.47646740462821746,0.4771581806981134,0.4976832380639104,0.4832918385238679,0.46231901134734127,0.4618847545078543
utter-project__EuroLLM-1.7B-Instruct,0.39252449182820526,0.3627031650983747,0.43600682593856654,0.38632478632478634,0.3900769888793841,0.38751069289991447,0.2782222222222222,0.2577777777777778,0.2966666666666667,0.2644444444444444,0.2833333333333333,0.28888888888888886,0.3418379292456354,0.3357376320708486,0.35683455461003566,0.33378547048103513,0.3441268490611903,0.33870514000506746,0.3418379292456355,0.2753132530119633,0.2734952481520591,0.28141499472016895,0.2745612719364032,0.27324115804751353,0.2738535922036715,0.34183792924563544,0.42129174992015095,0.4489743372551828,0.4132497311147404,0.4098113792185065,0.42985591598453,0.4045673860277951
CohereForAI__aya-expanse-8b,0.5594003913562067,0.5372112917023096,0.5810580204778157,0.5615384615384615,0.5671514114627887,0.5500427715996579,0.8584444444444446,0.8588888888888889,0.8911111111111111,0.8388888888888889,0.8622222222222222,0.8411111111111111,0.6400506013135076,0.6307236467285384,0.6719022747955027,0.6363228332251837,0.6373349733445759,0.6239692784737367,0.6400506013135074,0.578961361902025,0.5576255845527229,0.6184190677326897,0.5737963101844907,0.5747460087082729,0.5702198383319483,0.6400506013135074,0.563396207551354,0.5691688217702322,0.5970208998603942,0.5710676722888938,0.5452202509850198,0.5345033928522298
microsoft__Phi-3.5-mini-instruct,0.5812663083489349,0.544054747647562,0.6399317406143344,0.5786324786324787,0.5662959794696322,0.5774165953806673,0.8397777777777777,0.8277777777777777,0.8955555555555555,0.82,0.8466666666666667,0.8088888888888889,0.6484054145908265,0.6249139229985833,0.697434422842556,0.6412969524756933,0.6439281788987785,0.6344535957385212,0.6484054145908265,0.6183573511221233,0.5908130939809926,0.6893196560567205,0.6049197540122994,0.6064471774501566,0.600287074110448,0.6484054145908265,0.5542202211144698,0.5370100725880008,0.5649307391436134,0.5616355772579953,0.5563028920086585,0.5512218245740809
mistralai__Mistral-Nemo-Instruct-2407,0.6101645707821752,0.5799828913601369,0.6569965870307167,0.6170940170940171,0.6047904191616766,0.5919589392643285,0.8993333333333332,0.9022222222222223,0.9277777777777778,0.8944444444444445,0.8988888888888888,0.8733333333333333,0.6624458289490489,0.6456890946284769,0.699893350040014,0.6621916686421927,0.6566087051495618,0.6478463262849996,0.6624458289490489,0.6184406463705849,0.6026550007542616,0.6656358425101825,0.608519574021299,0.6106485371629363,0.6047442774042456,0.6624458289490489,0.5218447653101025,0.49789626417728705,0.549163192841379,0.5287086390090103,0.5121069753847455,0.5213487551380908
